title,wiki_page,horror_subgenre,developers,female_developer_present?,release_date,platforms,player_perspective,female_protagonist_playable_character?,Female Antagonist,woman_as_monster,woman_as_monster_keywords,motherhood,motherhood_keywords,domesticity,domesticity_keywords,trauma_and_mental illness,trauma_and_mental_illness_keywords,embodiment,embodiment_keywords,captivity,captivity_keywords,violence,violence_keywords,sexualized_violence,sexualized_violence_keywords,girlhoodhorror,girlhood horror_keywords,queer_themes,queer themes_keywords,combined_keywords,Creed Archetypes,Creed Archetypes - Evidence,
A Plague Tale: Innocence,en.wikipedia.org/wiki/A_Plague_Tale:_Innocence,survival horror,Asobo Studio,NONE LISTED,2019-05-14,PS4; Windows; Xbox One,third-person,TRUE,No,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,illness,TRUE,imprisoned; escape,TRUE,kills,FALSE,,TRUE,teen,FALSE,,,Monstrous Womb,"mother whose child turns out monstrous: ""Hugo's blood carries a supernatural evil called the Prima Macula, which has lain dormant within certain noble bloodlines since the Plague of Justinian.""",
Alice: Madness Returns,https://en.wikipedia.org/wiki/Alice%3A_Madness_Returns,psychological horror,Spicy Horse,NONE LISTED,2011-06-14,Windows; PlayStation 3; Xbox 360,third-person,TRUE,No,FALSE,,FALSE,,FALSE,,TRUE,trauma; hallucination; asylum; hallucinate,TRUE,memories,TRUE,locked; escape,TRUE,rape; raped,TRUE,rape; raped,TRUE,young woman,FALSE,,,Femme Castarice,protagonist kills a man after discovering he killed her family and raped her sister,
Alien: Isolation,https://en.wikipedia.org/wiki/Alien:_Isolation,survival horror,Creative Assembly,NONE LISTED,2014-10-07,PlayStation 3; PlayStation 4; Windows; Xbox 360; Xbox One; Linux OS X; Nintendo Switch; Android iOS,first-person,TRUE,No,FALSE,,TRUE,mother; daughter,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,killed,FALSE,,FALSE,,FALSE,,,Archaic Mother,Alien is the example Creed uses for this archetype,
American McGee's Alice,https://en.wikipedia.org/wiki/American_McGee%27s_Alice,adventure horror,Rogue Entertainment [ a ],NONE LISTED,2000-12-05,Windows; Mac OS,third-person,TRUE,Yes,FALSE,,FALSE,,FALSE,,TRUE,trauma; asylum; hallucinate,TRUE,flesh; disfigured,TRUE,captive,TRUE,violent; violence; murder; killed,FALSE,,TRUE,young woman,FALSE,,,None,,
Amnesia: Rebirth,en.wikipedia.org/wiki/Amnesia:_Rebirth,survival horror,Frictional Games,NONE LISTED,2020-10-20,Linux; Windows; PS4; Amazon Luna; Xbox One; Series X/S,first-person,TRUE,Yes,FALSE,,TRUE,mother; motherhood; pregnant; daughter,FALSE,,TRUE,trauma; hallucinate,TRUE,body horror; mutated; body; memories,FALSE,,TRUE,killed,FALSE,,FALSE,,FALSE,,,Monstrous Womb,"not a perfect fit, but an evil alien civillization attmepting to claim the protagonist's child seems close to this at least.",
Amy,https://en.wikipedia.org/wiki/Amy_%28video_game%29,survival horror,VectorCell,NONE LISTED,2012-01-11,Xbox 360; PlayStation 3,,TRUE,No,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,infected,FALSE,,FALSE,,FALSE,,TRUE,girl,FALSE,,,Witch,"""an organisation who intends to control Amy and exploit her strange powers""",
Anchorhead,https://en.wikipedia.org/wiki/Anchorhead,lovecraftian horror,Michael S. Gentry,FALSE,1998,Z-machine version 8,,TRUE,No,FALSE,,TRUE,pregnant; daughter,TRUE,wife; husband; family,FALSE,,FALSE,,FALSE,,TRUE,killed,FALSE,,FALSE,,FALSE,,,Monstrous Womb,main character ends the game pregnant with the implication that her child may become possesed,
Araya,https://en.wikipedia.org/wiki/Araya_%28video_game%29,adventure horror,MAD Virtual Reality Studio,NONE LISTED,2016-11-24,Windows,,TRUE,Yes,FALSE,,TRUE,pregnacy,FALSE,,TRUE,bipolar,FALSE,,FALSE,,TRUE,kills,FALSE,,FALSE,,FALSE,,,"Femme Castarice, Monstrous Womb","femme castarice - vengeful ghost who lashes out after killed by her boyfriend, montrous womb - her boyfriend kills her out of fear/anger that she's pregnant",
BloodRayne,https://en.wikipedia.org/wiki/BloodRayne_%28video_game%29,adventure horror,Terminal Reality,NONE LISTED,2002-10-31,PlayStation 2; Xbox; GameCube; Windows; Mac OS X; Terminal Cut; Windows; Nintendo Switch; PlayStation 4; PlayStation 5; Xbox One; Xbox Series X/S,,TRUE,No,TRUE,vampire,FALSE,,FALSE,,FALSE,,TRUE,implants,FALSE,,TRUE,forcibly,FALSE,,FALSE,,FALSE,,,"Vampire, Archaic Mother","vampire is self-explanatory, but the ancient evil demon with its body parts scattered accross the world that fuse with people seems to fit the archaic mother archetype symbolically even if it isn't female.",
Clock Tower,en.wikipedia.org/wiki/Clock_Tower_(1995_video_game),survival horror,Human Entertainment,NONE LISTED,1995-09-14,Super Famicom,,TRUE,Yes,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,jail cell,TRUE,killed,FALSE,,TRUE,children; young,FALSE,,,"Monstrous Mother, Monstrous Womb",the villain is a mother of two monstrous children who orchestrates the horrors,
Clock Tower 3,en.wikipedia.org/wiki/Clock_Tower_3,survival horror,Capcom; Sunsoft,NONE LISTED,2002-12-12,PlayStation 2,third-person,TRUE,No,FALSE,,TRUE,mother; her son,FALSE,,FALSE,,TRUE,body; soul,FALSE,,TRUE,murder; murdered; killed,FALSE,,TRUE,teen; young girl,FALSE,,,Witch,main character has supernatural powers connected to her adolesense,
Clock Tower II: The Struggle Within,en.wikipedia.org/wiki/Clock_Tower_II:_The_Struggle_Within,survival horror,Human Entertainment,TRUE,1998-03-12,PlayStation,,TRUE,No,FALSE,,FALSE,,FALSE,,TRUE,plurality/Dissociative Identity Disorder,TRUE,soul; alter ego,FALSE,,TRUE,decapitated,FALSE,,TRUE,high school,FALSE,,,"Possessed Body, Monstrous Womb","family curse causing children to be born with evil alter egos, the protagonist's alter ego sometimes seems to control her in something like possession",
D,en.wikipedia.org/wiki/D_(video_game),adventure horror,Warp,NONE LISTED,1995-04-01,3DO; Sega Saturn; PlayStation; MS-DOS,,TRUE,No,TRUE,vampire,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"kill, stabbed",FALSE,,FALSE,,FALSE,,,"Vampire, Monstrous Womb","vampires, a child consuming her mother",
Deadly Premonition 2: A Blessing in Disguise,https://en.wikipedia.org/wiki/Deadly_Premonition_2%3A_A_Blessing_in_Disguise,survival horror,Toybox Inc.; White Owls Inc.; Now Production,NONE LISTED,2020-07-10,Nintendo Switch; Windows,point-and-click,TRUE,Yes,TRUE,monster,TRUE,daughter; mother,FALSE,,TRUE,plurality/Dissociative Identity Disorder,TRUE,body; soul,TRUE,escapes,TRUE,kill; murder; murdered; violence,TRUE,incestuous,TRUE,girl; teen; teenage girl; young,TRUE,trans woman,,"Archaic Mother, Possessed Body","""transform the bodies and mature the souls of selected human offerings to the goddess"" - primordial fertility goddess consuming souls fits archaic mother, the playable female character gets possessed at the end of the game",
Detention,en.wikipedia.org/wiki/Detention_(video_game),adventure horror,Red Candle Games,NONE LISTED,2017-10-03,Windows; OS X; Linux; Nintendo Switch; Android,,TRUE,No,FALSE,,FALSE,,FALSE,,TRUE,"depression, suicide",FALSE,,FALSE,,TRUE,excecution,FALSE,,TRUE,high school,FALSE,,,Femme Castarice,"female protag tries to get rid of a woman she thinks is blocking her romantic relationship, ""inspired by the way her mother got rid of her abusive and philandering father""",
Devotion,en.wikipedia.org/wiki/Devotion_(video_game),psychological horror,Red Candle Games,NONE LISTED,2019-02-19,Microsoft Windows; macOS,,FALSE,No,FALSE,,TRUE,mother,TRUE,domestic; family; husband,TRUE,panic attack,FALSE,,TRUE,locking her up,FALSE,,FALSE,,TRUE,child singer,FALSE,,,None,,
Doki Doki Literature Club!,en.wikipedia.org/wiki/Doki_Doki_Literature_Club!,psychological horror,Team Salvato,TRUE,2017-09-22,macOS; Windows; Linux; iOS; Android; Plus!; Nintendo Switch; PlayStation 4; PlayStation 5; Xbox One; Xbox Series X/S; macOS,first-person,FALSE,Yes,FALSE,,FALSE,,FALSE,,TRUE,depression; self-harm; suicide,FALSE,,FALSE,,TRUE,abused,FALSE,,TRUE,student; high school,FALSE,,,None,,
Echo Night: Beyond,en.wikipedia.org/wiki/Echo_Night:_Beyond,survival horror,FromSoftware,TRUE,2004-01-22,PlayStation 2,first-person,FALSE,No,FALSE,,FALSE,,,,FALSE,,TRUE,soul,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,None,,
Emily Wants to Play,https://en.wikipedia.org/wiki/Emily_Wants_to_Play,survival horror,Shawn Hitchcock,NONE LISTED,2015-12-10,macOS; Windows; iOS; Android; PlayStation 4; Xbox One; Oculus Rift,,FALSE,Yes,TRUE,,FALSE,,FALSE,,TRUE,depression,FALSE,,TRUE,lock,TRUE,violent; killed,FALSE,,TRUE,young girl,FALSE,,,Witch,girl who can control dolls,
Eternal Darkness: Sanity’s Requiem,en.wikipedia.org/wiki/Eternal_Darkness,lovecraftian horror; survival horror,Silicon Knights,TRUE,2002-06-24,GameCube,third-person,,No,FALSE,,FALSE,,FALSE,,,,TRUE,body; experimentation; soul,FALSE,,TRUE,violently murdered,FALSE,,FALSE,,FALSE,,,Archaic Mother,The Ancients in this game seem like archaic mother types,
FAITH: The Unholy Trinity,en.wikipedia.org/wiki/Faith:_The_Unholy_Trinity,survival horror,Airdorf Games,NONE LISTED,2017-10-04,Windows; Nintendo Switch,,FALSE,Yes,TRUE,transforms; horrifying demon,FALSE,,FALSE,,TRUE,psychiatric,FALSE,,FALSE,,TRUE,kill,FALSE,,FALSE,,FALSE,,,"Archaic Mother, Monstrous Womb","""fusing with another demon (implied to be Malphas) and his mother's body to form a powerful monster."" ""the demonic Mother and her children.""",
Fatal Frame,https://en.wikipedia.org/wiki/Fatal_Frame_(video_game),survival horror,Tecmo,TRUE,2001-12-13,PlayStation 2; Microsoft Windows; Nintendo 3DS; Nintendo Switch; Playstation 4; Playstation 5; Wii; Wii U; Xbox; Xbox One; Xbox Series X/S; Nintendo Switch 2,third-person,TRUE,Yes,FALSE,,FALSE,,FALSE,,TRUE,driven mad,TRUE,body,FALSE,,TRUE,killed ,FALSE,,FALSE,,FALSE,,,"Archaic Mother, Possessed Body","Hell Gate as ancient evil that births demons. Kirie is ""corrupted by Malice""",
Fatal Frame II: Crimson Butterfly,en.wikipedia.org/wiki/Fatal_Frame_II:_Crimson_Butterfly,survival horror,Tecmo,TRUE,2003-11-27,Playstation 2; Xbox,third-person,TRUE,Yes,TRUE,witch,FALSE,,FALSE,,FALSE,,TRUE,"soul, crippling leg injury",FALSE,,TRUE,strangled,FALSE,,TRUE,younger,FALSE,,,None,,
Fatal Frame III: The Tormented,en.wikipedia.org/wiki/Fatal_Frame_III:_The_Tormented,survival horror,Tecmo,TRUE,2005-07-28,Playstation 2,third-person,TRUE,Yes,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,body; memories,FALSE,,TRUE,murder; murdered,FALSE,,FALSE,,FALSE,,,Archaic Mother,"unsure, but the concept of a ghostly woman luring people into a dream that kills them, is a put like arcahic mother consuming her children",
Fatal Frame IV: Mask of the Lunar Eclipse,en.wikipedia.org/wiki/Fatal_Frame:_Mask_of_the_Lunar_Eclipse,survival horror,Tecmo; Nintendo SPD; Grasshopper Manufacture,NONE LISTED,2008-07-31,Wii; Nintendo Switch; Playstation 4; Playstation 5; Windows; Xbox One; Xbox Series X/S,first-person; third-person,TRUE,Yes,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,body; memories,TRUE,kidnapped,TRUE,killed; stabbed,FALSE,,TRUE,girls,FALSE,,,Archaic Mother,the moon inflicting disease as an ancient presense,
Fatal Frame V: Maiden of Black Water,en.wikipedia.org/wiki/Fatal_Frame:_Maiden_of_Black_Water,survival horror,Koei Tecmo,TRUE,2014-09-27,Wii U; Nintendo Switch; Playstation 4; Playstation 5; Windows; Xbox One; Xbox Series X/S,first-person; third-person,TRUE,Yes,FALSE,,TRUE,birth,FALSE,,TRUE,suicide,TRUE,bodies,FALSE,,TRUE,killing,FALSE,,FALSE,,FALSE,,,Femme Castarice,vengeful female spirit,
Forbidden Siren 2,https://en.wikipedia.org/wiki/Forbidden_Siren_2,survival horror,Sony Computer Entertainment Japan,TRUE,2006-02-09,PlayStation 2,,TRUE,Yes,TRUE,witch; she transforms,TRUE,mother,FALSE,,TRUE,trauma,TRUE,body; soul; memories,TRUE,kidnapped; imprisoned; escape,TRUE,murder; killed,FALSE,,TRUE,schoolgirl; young girl,FALSE,,,"Archaic Mother, Monstrous Womb","""Millennia ago, Mother was an ancient water deity who was imprisoned below the earth upon the creation of light"", ""Mother, now free from her prison, gives birth to hundreds of yamirei - albino slug-like creatures""",
Fran Bow,en.wikipedia.org/wiki/Fran_Bow,psychological horror,Killmonday Games,TRUE,2015-08-27,Microsoft Windows; OS X; Linux; Android; iOS; Xbox Series X/S; Xbox One; Nintendo Switch; Playstation 4,,TRUE,Yes,TRUE,witch,FALSE,,FALSE,,TRUE,trauma; mental illness; hallucination; asylum,TRUE,transformed,TRUE,kidnapped; escape; imprisonment,TRUE,murder; killed; torture,FALSE,,TRUE,girl,FALSE,,,Archaic Mother,"""She is trapped in a hell-like dimension, ruled by Remor's mother, Mabuka.""",
Haunting Ground,en.wikipedia.org/wiki/Haunting_Ground,survival horror,Capcom,TRUE,2005-04-21,Playstation 2,,TRUE,No,FALSE,,TRUE,mother,FALSE,,FALSE,,TRUE,embodiment; body; bodily autonomy; memories,TRUE,escape,TRUE,violent; murder; murdered,TRUE,impregnating,FALSE,,FALSE,,,Monstrous Womb,"""resulting in Riccardo capturing and impregnating Fiona.""",
Ib,en.wikipedia.org/wiki/Ib_(video_game),adventure horror,kouri,NONE LISTED,2012-02-27,Windows; Nintendo Switch; Playstation 4; Playstation 5,top-down,TRUE,Yes,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,trapped,TRUE,killing,FALSE,,TRUE,young girl,FALSE,,,Witch,Mary as a painting-girl antagonist seems witchlike,
Koudelka,en.wikipedia.org/wiki/Koudelka,horror,Sacnoth,NONE LISTED,1999-12-16,Playstation,,TRUE,Yes,TRUE,monster,TRUE,mother,FALSE,,FALSE,,TRUE,body,FALSE,,TRUE,killed,FALSE,,TRUE,young girl,FALSE,,,Possessed Body,"""asks them to destroy her body so her spirit can be free""",
Layers of Fear,en.wikipedia.org/wiki/Layers_of_Fear,psychological horror,Bloober Team,NONE LISTED,2016-02-16,Linux; Microsoft Windows; macOS; Playstation 4; Xbox One; Nintendo Switch,,FALSE,No,FALSE,,TRUE,daughter,TRUE,domestic; marriage; wife; husband; family,TRUE,trauma,TRUE,body; memories,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,Femme Castarice,"body parts taken from his wife: her skin as the canvas, her blood as the paint, her bone as the undercoat, a brush made from her hair",
Layers of Fear 2,en.wikipedia.org/wiki/Layers_of_Fear_2,psychological horror,Bloober Team,NONE LISTED,2019-05-28,Microsoft Windows; Playstation 4; Xbox One; Nintendo Switch,,FALSE,No,FALSE,,FALSE,,TRUE,wife; abusive father,TRUE,trauma; hallucination,TRUE,soul,FALSE,,TRUE,assault; sexually assaulted,TRUE,sexually assaulted,FALSE,,FALSE,,,Monstrous Mother,"The deformed women, known as the ""Rat Queen"", is a mysterious entity that appears to be guiding James",
Life Weaver,https://en.wikipedia.org/wiki/Life_Weaver,survival horror,BGG Productions,TRUE,2012-01-10,Windows,,TRUE,No,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,violence,FALSE,,FALSE,,FALSE,,,None,,
Little Goody Two Shoes,https://en.wikipedia.org/wiki/Little_Goody_Two_Shoes_%28video_game%29,adventure horror,AstralShiftPro,NONE LISTED,2023-10-31,Nintendo Switch PlayStation 5 Windows Xbox Series X/S,,TRUE,No,TRUE,witch,FALSE,,FALSE,,FALSE,,,,FALSE,,FALSE,,FALSE,,TRUE,young girl,FALSE,,,Witch,"f players do not maintain positive relations with the villagers, they may accuse Elise of being a witch responsible for the monsters' appearance",
Little Misfortune,en.wikipedia.org/wiki/Little_Misfortune,adventure horror,Killmonday Games,TRUE,2019-09-18,Linux; macOS; Microsoft Windows; Android; iOS; Nintendo Switch,,TRUE,No,FALSE,,TRUE,mother,TRUE,husband; abusive parents,TRUE,suicide,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,girl,FALSE,,,,,
Little Nightmares,en.wikipedia.org/wiki/Little_Nightmares,survival horror,Tarsier Studios,TRUE,2017-04-28,Android; Google Stadia; iOS; Nintendo Switch; Playstation 4; Windows; Xbox One; Playstation 5; Xbox Series X/S; Nintendo Switch 2,,TRUE,Yes,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,escape; must escape; cage,FALSE,,FALSE,,TRUE,young girl,FALSE,,,Possessed Body,"whenever she eats, a shadowy, flickering version of herself appears nearby.",
Mad Father,en.wikipedia.org/wiki/Mad_Father,survival horror,Sen,NONE LISTED,2012-12-10,Windows; Nintendo Switch,,TRUE,No,FALSE,,TRUE,daughter; mother,TRUE,family; father,FALSE,,FALSE,,TRUE,escape; escaped,TRUE,murder; murdered; killed,FALSE,,TRUE,girl; youth,FALSE,,,,,
Maid of Sker,https://en.wikipedia.org/wiki/Maid_of_Sker_(video_game),psychological horror; survival horror,Wales Interactive,NONE LISTED,2020-07-28,Windows; PS4; Xbox One; Nintendo Switch,first-person,FALSE,No,FALSE,,TRUE,daughter; mother,TRUE,family; father,FALSE,,FALSE,,TRUE,locked,FALSE,,FALSE,,FALSE,,FALSE,,,Possessed Body,"The game incorporates elements of the folk story, including the haunted Sker House which is said to be haunted by Elisabeth and a sailor ghosts",
Martha Is Dead,https://en.wikipedia.org/wiki/Martha_Is_Dead,psychological thriller,LKA,NONE LISTED,2022-02-24,PlayStation 4 PlayStation 5 Windows Xbox One Xbox Series X/S,first-person,TRUE,Yes,TRUE,malicious spirit,TRUE,mother; pregnant,FALSE,,TRUE,asylum,TRUE,body,FALSE,,TRUE,murder; murdered; killed; torture; tortured,FALSE,,FALSE,,FALSE,,,,,
Milk Inside a Bag of Milk Inside a Bag of Milk,en.wikipedia.org/wiki/Milk_inside_a_bag_of_milk_inside_a_bag_of_milk,psychological horror,Nikita Kryukov,FALSE,2020-08-26,Windows; MacOS; Linux; Nintendo Switch,first-person,TRUE,No,FALSE,,TRUE,mother,FALSE,,TRUE,trauma; hallucination; suicidal; suicide; hallucinate,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,
Milk Outside a Bag of Milk Outside a Bag of Milk,en.wikipedia.org/wiki/Milk_outside_a_bag_of_milk_outside_a_bag_of_milk,psychological horror,Nikita Kryukov,FALSE,2021-12-16,Windows; MacOS; Linux; Nintendo Switch,first-person,TRUE,No,FALSE,,FALSE,,FALSE,,TRUE,trauma; depression; mentally ill,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,
Misao,en.wikipedia.org/wiki/Misao_(video_game),survival horror,Sen,NONE LISTED,2011-05-26,Microsoft Windows; Steam,,TRUE,Yes,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,dismembering; rape,TRUE,rape,FALSE,,FALSE,,,Possessed Body,"the school has been dragged into another dimension by Misao's spirit, and that demons are terrorizing and killing the students",
Outlast 2,en.wikipedia.org/wiki/Outlast_2,survival horror,Red Barrels,NONE LISTED,2017-04-25,Microsoft Windows; Playstation 4; Xbox One; Nintendo Switch,first-person,FALSE,Yes,FALSE,,TRUE,pregnant; baby; daughter,FALSE,,TRUE,trauma; hallucination; suicide; asylum; hallucinate,TRUE,memories,TRUE,kidnapped; escape,TRUE,violent; violence; assault; murder; murdered; torture; tortured; rape,TRUE,rape,TRUE,teen; high school,FALSE,,,Femme Castarice,,
Oxenfree II: Lost Signals,en.wikipedia.org/wiki/Oxenfree_II:_Lost_Signals,supernatural horror; mystery horror,Night School Studio,NONE LISTED,2023-07-12,Android; iOS; Nintendo Switch; Playstation 4; Playstation 5; Windows,,TRUE,Yes,FALSE,,TRUE,pregnant,FALSE,,TRUE,hallucination,FALSE,,TRUE,escape,FALSE,,FALSE,,TRUE,teen,FALSE,,,Possessed Body,"she needs to escape being possessed by the Sunken in the void, and shortly afterwards she is transported back to reality where she manages to stop Olivia and disrupt the formation of the portal",
Parasite Eve,https://en.wikipedia.org/wiki/Parasite_Eve_(video_game),horror,Square,TRUE,1998-03-29,PlayStation,,TRUE,Yes,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,Archaic Mother,"Maeda concludes that based on selfish gene theory, Aya and Eve's mitochondria are in an evolutionary race for survival.",
Phantasmagoria,https://en.wikipedia.org/wiki/Phantasmagoria_%28video_game%29,adventure horror,Sierra On-Line [ a ],TRUE,1995-08-24,Microsoft Windows MS-DOS Sega Saturn,point-and-click,TRUE,No,FALSE,,FALSE,,TRUE,house,TRUE,suicide,TRUE,flesh; body,FALSE,,TRUE,violent; murder; murdered; torture,TRUE,rape,FALSE,,FALSE,,,Possessed Body,,
