title,wiki_page,horror_subgenre,developers,female_developer_present?,release_date,platforms,player_perspective,female_protagonist_playable_character?,Female Antagonist,woman_as_monster,woman_as_monster_keywords,motherhood,motherhood_keywords,domesticity,domesticity_keywords,trauma_and_mental illness,trauma_and_mental_illness_keywords,embodiment,embodiment_keywords,captivity,captivity_keywords,violence,violence_keywords,sexualized_violence,sexualized_violence_keywords,girlhoodhorror,girlhood horror_keywords,queer_themes,queer themes_keywords,combined_keywords,Creed Archetypes,Creed Archetypes - Evidence,
Remothered: Broken Porcelain,en.wikipedia.org/wiki/Remothered:_Broken_Porcelain,survival horror,Stormind Games,NONE LISTED,2020-10-13,Microsoft Windows; Playstation 4; Xbox One; Nintendo Switch,,TRUE,No,FALSE,,TRUE,mother; pregnant; daughter,TRUE,husband; family; father,TRUE,hallucination; suicide,TRUE,body; disfigured; memories,TRUE,abducted; captivity; escape; must escape,TRUE,murder; murdered; killed,TRUE,raping; forced,FALSE,,TRUE,transgender,,Possessed Body,,
Remothered: Tormented Fathers,en.wikipedia.org/wiki/Remothered:_Tormented_Fathers,survival horror,Stormind Games,NONE LISTED,2018-01-30,Microsoft Windows; Playstation 4; Xbox One; Nintendo Switch,,TRUE,No,FALSE,,TRUE,mother; baby; daughter,TRUE,wife; family,TRUE,trauma; hallucination; suicide,TRUE,memories,TRUE,imprisoned; escape,TRUE,murder; murdered,FALSE,,FALSE,,TRUE,testosterone treatments,,Possessed Body,,
Resident Evil 2,https://en.wikipedia.org/wiki/Resident_Evil_2_%282019_video_game%29,survival horror,Capcom,NONE LISTED,2019-01-25,PlayStation 4 Windows Xbox One PlayStation 5 Xbox Series X/S Nintendo Switch iOS iPadOS macOS,third-person,TRUE,No,FALSE,,TRUE,mother; daughter,FALSE,,TRUE,hallucinate,TRUE,mutation; mutated; body; memories; infected,TRUE,escape; must escape,TRUE,violent; violence; murder; killed,FALSE,,FALSE,,FALSE,,,Monstrous Mother,,
Resident Evil 3: Nemesis,https://en.wikipedia.org/wiki/Resident_Evil_3%3A_Nemesis,survival horror,Capcom,TRUE,1999-09-22,"PlayStation , Windows , Dreamcast , GameCube",third-person,TRUE,No,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,infected,TRUE,escape,TRUE,killed,FALSE,,FALSE,,FALSE,,,Monstrous Mother,,
Resident Evil 4,https://en.wikipedia.org/wiki/Resident_Evil_4,survival horror,Capcom Production Studio 4 [ a ],TRUE,2005-01-11,GameCube PlayStation 2 Windows Wii iOS Zeebo PlayStation 3 Xbox 360 Android PlayStation 4 Xbox One Nintendo Switch Oculus Quest 2,third-person,FALSE,No,FALSE,,TRUE,daughter,FALSE,,TRUE,hallucination; asylum,TRUE,mutated; body; experimentation; soul,TRUE,kidnapped; abducted; held captive; captive; escape,FALSE,,FALSE,,TRUE,young girl,FALSE,,,Witch,,
Resident Evil 5,https://en.wikipedia.org/wiki/Resident_Evil_5,survival horror,Capcom,NONE LISTED,2009-03-05,PlayStation 3 Xbox 360 Windows Shield Android TV PlayStation 4 Xbox One Nintendo Switch,third-person,TRUE,Yes,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,infected; mutates,TRUE,escape,FALSE,,FALSE,,FALSE,,FALSE,,,Monstrous Mother,,
Resident Evil: Code Veronica,en.wikipedia.org/wiki/Resident_Evil_Code:_Veronica,survival horror,Capcom Production Studio 4,NONE LISTED,2000-02-03,Dreamcast; Playstation 2; GameCube; Playstation 3; Xbox 360,third-person,TRUE,Yes,FALSE,,FALSE,,TRUE,family,FALSE,,TRUE,experimentation; soul,TRUE,imprisoned; escape,FALSE,,FALSE,,FALSE,,FALSE,,,Monstrous Mother,,
Rule of Rose,en.wikipedia.org/wiki/Rule_of_Rose,survival horror; psychological horror,Punchline,NONE LISTED,2006-01-19,Playstation 2,,TRUE,Yes,FALSE,,FALSE,,FALSE,,TRUE,trauma; suicidal; suicide,TRUE,body; memories,TRUE,kidnapped; abducted; captive; escape,TRUE,violent; violence; killed,FALSE,,TRUE,teen; young girl,FALSE,,,,,
Scarlet Hollow,https://en.wikipedia.org/wiki/Scarlet_Hollow,horror,Black Tabby Games,TRUE,2021-06-11,Linux MacOS Microsoft Windows,visual novel,FALSE,No,FALSE,,TRUE,mother; daughter,TRUE,family,FALSE,,TRUE,flesh,TRUE,escape,TRUE,killed,FALSE,,FALSE,,FALSE,,,,,
Scorn,https://en.wikipedia.org/wiki/Scorn_(video_game),survival horror; adventure horror,Ebb Software,NONE LISTED,2022-10-14,Microsoft Windows Xbox Series X/S PlayStation 5,,FALSE,No,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"flesh, mutated",FALSE,,FALSE,,FALSE,,FALSE,,TRUE,gender fluid,,Archaic Mother,,
Senua's Saga: Hellblade II,https://en.wikipedia.org/wiki/Senua%27s_Saga%3A_Hellblade_II,psychological horror,Ninja Theory,TRUE,2024-05-21,Windows Xbox Series X/S PlayStation 5,,TRUE,No,FALSE,,TRUE,infant,FALSE,,TRUE,psychosis; mental illness; hallucination,TRUE,body; memories,FALSE,escape,FALSE,,FALSE,,FALSE,,FALSE,,,,,
Shadows of the Damned,https://en.wikipedia.org/wiki/Shadows_of_the_Damned,psychological horror,Grasshopper Manufacture,NONE LISTED,2011-06-21,PlayStation 3 Xbox 360 Nintendo Switch PlayStation 4 PlayStation 5 Windows Xbox One Xbox Series X/S,third-person,FALSE,No,TRUE,she transforms; demon,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,abducted,TRUE,killed; torture,FALSE,,FALSE,,FALSE,,,,,
Signalis,en.wikipedia.org/wiki/Signalis,survival horror,rose-engine,TRUE,2022-10-27,Windows; Nintendo Switch; Playstation 4; Xbox One,top-down,TRUE,Yes,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,memories,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,lgbtq+,,,,
Silent Hill,https://en.wikipedia.org/wiki/Silent_Hill_%28video_game%29,survival horror; psychological horror,Team Silent,NONE LISTED,1999-02-23,PlayStation,third-person,FALSE,Yes,FALSE,,TRUE,birth,FALSE,,FALSE,,TRUE,body,FALSE,,FALSE,,FALSE,,TRUE,girl,FALSE,,,Monstrous Mother,,
Silent Hill 2,en.wikipedia.org/wiki/Silent_Hill_2,survival horror; psychological horror,Team Silent,NONE LISTED,2001-09-25,Playstation 2; Xbox; Windows,third-person,FALSE,Yes,FALSE,,TRUE,mother,TRUE,domestic; domestic abuse; wife,TRUE,trauma; mental illness; hallucination; suicide,TRUE,flesh,TRUE,abducted; locked; escape,TRUE,killed; rape; raped,TRUE,rape; raped,FALSE,,FALSE,,,Monstrous Mother,,
Silent Hill 3,en.wikipedia.org/wiki/Silent_Hill_3,survival horror; psychological horror,Team Silent,NONE LISTED,2003-05-23,Playstation 2; Windows,third-person,TRUE,Yes,FALSE,,TRUE,birth,FALSE,abusive,FALSE,,TRUE,body,FALSE,,TRUE,murder; murdered; killed,FALSE,,TRUE,"teen; ""player takes control of Heather, a 17-year-old girl""",FALSE,,,"Archaic Mother, Monstrous Mother","""the girl originally intended to give birth to the cult's god, Claudia intends for her to bring forth the god.""; He considers killing Heather to stop the god from being born but decides against it.; ""Claudia promptly swallows the fetus to Heather's horror in an attempt to complete the birthing process of the god.""",
Silent Hill 4: The Room,en.wikipedia.org/wiki/Silent_Hill_4,survival horror; psychological horror,Team Silent,NONE LISTED,2004-06-17,Playstation 2; Xbox; Windows,third-person,FALSE,Yes,FALSE,,TRUE,mother; baby,FALSE,,TRUE,suicide,TRUE,flesh,FALSE,,TRUE,"murder; killed; ""Cynthia Velasquez, a woman convinced she is dreaming and who is soon killed by an unknown man.""",FALSE,,FALSE,,FALSE,,,Possessed Body,"""Henry follows and finds her, possessed and about to walk into a deathtrap,""",
Silent Hill: Origins,https://en.wikipedia.org/wiki/Silent_Hill%3A_Origins,survival horror; psychological horror,Climax Studios,NONE LISTED,2007-11-06,PlayStation Portable PlayStation 2,third-person,FALSE,Yes,FALSE,,TRUE,mother; baby,TRUE,wife,TRUE,mental institution; his mother had been committed to a local mental institution after attempting to kill him,TRUE,body; soul; memories,TRUE,escape,TRUE,"killed; burned; ""surrounding Alessa's burned body""",FALSE,,TRUE,young girl,FALSE,,,"Archaic Mother, Monstrous Womb","""who was immolated in a ritual to impregnate her with the cult's god.""; ""the cult plans to use Alessa to give birth to its god""",
Silent Hill: Shattered Memories,https://en.wikipedia.org/wiki/Silent_Hill%3A_Shattered_Memories,survival horror; psychological horror,Climax Studios,FALSE,2009-12-08,Wii PlayStation 2 PlayStation Portable,first-person,FALSE,Yes,FALSE,,TRUE,daughter,TRUE,wife; family,TRUE,"""""the lighthouse"" is the name of Dr. Kaufmann's counseling clinic:[9] the patient in the therapy session is an adult Cheryl, who is in denial over her father's death.""",TRUE,memories,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,
Silent Hill: The Short Message,https://en.wikipedia.org/wiki/Silent_Hill%3A_The_Short_Message,psychological horror,Konami Digital Entertainment [ a ],TRUE,2024-01-31,PlayStation 5,,TRUE,Yes,TRUE,witch,TRUE,mother,TRUE,home,TRUE,mental illness; suicide,TRUE,body; memories,TRUE,escape; escaped,TRUE,abused,FALSE,,TRUE,teenage girl; teen,FALSE,,,"Monstrous Mother, Witch","""recalls how her mother neglected and abused her and her younger brother by locking them in the closet.""; "" cursed by a Japanese witch who was killed.""",
Siren: Blood Curse,en.wikipedia.org/wiki/Siren:_Blood_Curse,survival horror,Japan Studio,TRUE,2008-07-24,Playstation 3,third-person,FALSE,Yes,FALSE,,TRUE,daughter,FALSE,,FALSE,,TRUE,mutated; memories,TRUE,escape,TRUE,murder; murdered,FALSE,,TRUE,student; high school,FALSE,,,,,
Slender: The Arrival,https://en.wikipedia.org/wiki/Slender%3A_The_Arrival,survival horror,Blue Isle Studios Parsec Productions,NONE LISTED,2013-03-26,Windows OS X PlayStation 3 PlayStation 4 Wii U Xbox 360 Xbox One Nintendo Switch Android iOS Remastered Windows PlayStation 5 Xbox Series X/S,first-person,TRUE,No,FALSE,,FALSE,,FALSE,,TRUE,hallucination,FALSE,,TRUE,escape,FALSE,,FALSE,,FALSE,,FALSE,,,,,
Sorry We're Closed,https://en.wikipedia.org/wiki/Sorry_We%27re_Closed,survival horror,à la mode games,NONE LISTED,2024-11-14,Windows PlayStation 4 PlayStation 5 Xbox One Xbox Series X/S Nintendo Switch,first-person; third-person,TRUE,Yes,TRUE,"""""she has been cursed by a powerful archdemon called the Duchess; if she does not come to love them in three days' time, she will meet her end.""; ""Robyn, also a demon, shows Michelle how to open her newly acquired Third Eye""",FALSE,,FALSE,,FALSE,,TRUE,body; memories,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,lgbtq+,,,,
The 7th Guest,https://en.wikipedia.org/wiki/The_7th_Guest,adventure horror,Trilobyte,NONE LISTED,1993-04-28,"DOS CD-i , Mac OS , Windows , iOS , Android , OS X , Linux , Nintendo Switch , PlayStation 4 , PlayStation 5",,FALSE,No,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,killed,FALSE,,FALSE,,FALSE,,,,,
The Cat Lady,en.wikipedia.org/wiki/The_Cat_Lady,adventure horror,Harvester Games,NONE LISTED,2012-12-07,Windows; Linux,,TRUE,Yes,FALSE,,TRUE,infant; daughter,TRUE,wife; husband; family,TRUE,depression; suicidal; suicide,FALSE,,TRUE,captive; captivity; escape,TRUE,murder; torture,FALSE,,FALSE,,FALSE,,,,,
The Dark Pictures: Switchback VR,https://en.wikipedia.org/wiki/The_Dark_Pictures%3A_Switchback_VR,horror,Supermassive Games,TRUE,2023-03-16,PlayStation 5,,TRUE,Yes,TRUE,demoness,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,Femme Castarice,"""young woman on the train reveals herself to be the demoness Belial, Mother of Lies. """,
The Dishwasher: Vampire Smile,https://en.wikipedia.org/wiki/The_Dishwasher%3A_Vampire_Smile,psychological horror,Ska Studios,NONE LISTED,2011-04-06,Xbox 360 ( XBLA ) Microsoft Windows Linux macOS,side-scroll,TRUE,No,FALSE,,FALSE,,FALSE,,TRUE,hallucination,TRUE,body; implant,TRUE,escape; prison;  incarceration,TRUE,violent; violence; murder; killed; stabbed,FALSE,,FALSE,,FALSE,,,Possessed Body,"""He tells Yuki that the knife she extracted from her nightmares should be taken back and used to murder her inner demon who is driving her to the brink of insanity. Yuki""",
The Evil Within 2,https://en.wikipedia.org/wiki/The_Evil_Within_2,survival horror,Tango Gameworks,NONE LISTED,2017-10-13,PlayStation 4 Windows Xbox One,third-person,FALSE,Yes,FALSE,,TRUE,daughter,FALSE,,FALSE,,FALSE,,TRUE,kidnapped; locked; escape,TRUE,killed,FALSE,,FALSE,,FALSE,,,Archaic Mother,"""Sebastian follows Myra, whose desire to protect Lily has made her insane and obsessed with keeping Lily locked in the STEM for her own ""safety"". Myra lashes out at him, forcing him to shoot her, triggering her transformation into a large being called 'The Matriarch',""",
The Last of Us,https://en.wikipedia.org/wiki/The_Last_of_Us_%28video_game%29,survival horror,Naughty Dog,NONE LISTED,2013-06-14,PlayStation 3 PlayStation 4,third-person,TRUE,No,FALSE,,FALSE,,FALSE,,TRUE,trauma,FALSE,,TRUE,escape,FALSE,,FALSE,,TRUE,teenage girl; teen; young girl; coming of age,TRUE,lgbtq+,,,,
The Last of Us Part II,https://en.wikipedia.org/wiki/The_Last_of_Us_Part_II,survival horror,Naughty Dog [ a ],TRUE,2020-06-19,PlayStation 4 PlayStation 5 Windows,third-person,TRUE,No,FALSE,,TRUE,mother; pregnant; her son,FALSE,,TRUE,trauma; post-traumatic,FALSE,,TRUE,escape,FALSE,,FALSE,,TRUE,teen,TRUE,lgbtq,,,,
The Medium,https://en.wikipedia.org/wiki/The_Medium_(video_game),psychological horror,Bloober Team,FALSE,2021-01-28,Windows; Xbox Series X/S; Playstation 5; macOS; Nintendo Switch,third-person,TRUE,Yes,TRUE,malevolent spirit,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,murder; murdered; kill,FALSE,,TRUE,young,FALSE,,,Femme Castarice,"""the spirit of a young girl who warns her of the Maw, a hostile and malevolent spirit that has managed to also partially exist in the real world. """,
The Mortuary Assistant,https://en.wikipedia.org/wiki/The_Mortuary_Assistant,horror,DarkStone Digital,NONE LISTED,2022-08-02,Windows Nintendo Switch PlayStation 4 PlayStation 5 Xbox One Xbox Series X/S,first-person,TRUE,Yes,FALSE,,TRUE,mother,FALSE,,TRUE,hallucination,TRUE,flesh; memories,TRUE,chained; locked,FALSE,,FALSE,,FALSE,,FALSE,,,Possessed Body,"""On subsequent nights, Rebecca can eventually learn that Raymond keeps a possessed woman, Valery, locked in the mortuary basement and collects her blood to produce the Reagent needed to carry out the binding rituals.""",
The Path,https://en.wikipedia.org/wiki/The_Path_(video_game),psychological horror,Tale of Tales,TRUE,2009-03-18,Microsoft Windows Mac OS X [ 1 ],first-person,TRUE,Yes,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,girl,FALSE,,,,,
The Tartarus Key,https://en.wikipedia.org/wiki/The_Tartarus_Key,adventure horror,Vertical Reach,TRUE,2023-05-31,Nintendo Switch PlayStation 4 Windows Xbox One Xbox Series X/S,first-person,TRUE,No,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,escape,FALSE,,FALSE,,FALSE,,FALSE,,,,,
The Town of Light,en.wikipedia.org/wiki/The_Town_of_Light,psychological horror; adventure horror,LKA,NONE LISTED,2016-02-26,Windows; Playstation 4; Xbox One; Nintendo Switch,,TRUE,No,FALSE,,TRUE,mother,TRUE,relationship,TRUE,mental illness; depression; asylum,FALSE,,FALSE,,FALSE,,TRUE,sexual abuse,TRUE,girl,TRUE,lgbtq+,,,,
The Walking Dead,https://en.wikipedia.org/wiki/The_Walking_Dead_%28video_game%29,graphic adventure,Telltale Games,NONE LISTED,2012-04-24,Platforms Android iOS Kindle Fire HDX OS X Windows Nintendo Switch Ouya PlayStation 3 PlayStation 4 PlayStation Vita Xbox 360 Xbox One,point-and-click,FALSE,No,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,young girl,FALSE,,,,,
The Walking Dead: Season Two,https://en.wikipedia.org/wiki/The_Walking_Dead%3A_Season_Two,graphic adventure,Telltale Games,TRUE,2013-12-17,"Windows , OS X , PlayStation 3 , Xbox 360 , iOS , PlayStation Vita , PlayStation 4 , Xbox One , Nintendo Switch , Ouya , Android",point-and-click,,No,FALSE,,TRUE,pregnant; daughter,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,killed,FALSE,,TRUE,teen; young girl,FALSE,,,,,
The Walking Dead: The Final Season,https://en.wikipedia.org/wiki/The_Walking_Dead%3A_The_Final_Season,adventure horror,Telltale Games (episodes 1–2) Skybound Games (episodes 3–4),TRUE,2018-08-14,Nintendo Switch PlayStation 4 Windows Xbox One,point-and-click,TRUE,No,FALSE,,FALSE,,FALSE,,TRUE,trauma,FALSE,,TRUE,escape,TRUE,murder; killed,FALSE,,TRUE,teen; youth,TRUE,lgbtq+,,,,
The Witch’s House,en.wikipedia.org/wiki/The_Witch%27s_House,adventure horror; survival horror,Fummy,NONE LISTED,2012-10-03,Microsoft Windows; macOS; Nintendo Switch; Playstation 4; Xbox One,birds-eye view,TRUE,Yes,TRUE,witch,FALSE,,FALSE,,FALSE,,TRUE,body; illness,FALSE,,FALSE,,FALSE,,TRUE,young girl,FALSE,,,,,
Theresia,https://en.wikipedia.org/wiki/Theresia_%28video_game%29,psychological horror,WorkJam,NONE LISTED,2008-09-11,Nintendo DS,first-person,TRUE,No,FALSE,,TRUE,mother,FALSE,,FALSE,,TRUE,infected,TRUE,chained; locked; prison; restrained,TRUE,murdered; killed,FALSE,,TRUE,teenage girl,FALSE,,,,,
Tormented Souls,https://en.wikipedia.org/wiki/Tormented_Souls,survival horror,Dual Effect,NONE LISTED,2021-08-27,Nintendo Switch PlayStation 4 PlayStation 5 Windows Xbox One Xbox Series X/S,third-person,TRUE,No,TRUE,monster,TRUE,mother; maternal,FALSE,,FALSE,,TRUE,mutation; mutated; soul,TRUE,imprisoned; captivity; escape; escaped,TRUE,kill,FALSE,,FALSE,,FALSE,,,None,"""Anna has been mutated into a horrific monster.""; ",
Unforgiving: A Northern Hymn,https://en.wikipedia.org/wiki/Unforgiving%3A_A_Northern_Hymn,psychological horror; survival horror,Angry Demon Studio,TRUE,2017-11-27,Windows,first-person,TRUE,Yes,TRUE,tree spirit,TRUE,mother,FALSE,,FALSE,,FALSE,,TRUE,kidnapped; escape,TRUE,kill,FALSE,,FALSE,,FALSE,,,,,
Until Dawn,en.wikipedia.org/wiki/Until_Dawn,survival horror,Supermassive Games,NONE LISTED,2015-08-25,Playstation 4; Playstation 5; Windows,third-person,TRUE,No,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,abducted; escape,TRUE,killed; torture,FALSE,,TRUE,teen,FALSE,,,,,
We Know the Devil,en.wikipedia.org/wiki/We_Know_the_Devil,horror,Date Nighto,TRUE,2015-09-12,Windows; MacOS,visual novel,TRUE,No,TRUE,devil; monstrous transformation,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,teen,TRUE,queer,,,,
What Remains of Edith Finch,en.wikipedia.org/wiki/What_Remains_of_Edith_Finch,adventure horror,Giant Sparrow,NONE LISTED,2017-04-25,Playstation 4; Windows; Xbox One; Nintendo Switch; iOS; Playstation 5; Xbox Series X/S,first-person,TRUE,No,FALSE,,TRUE,mother; pregnant; pregnancy; childbirth; infant; daughter,TRUE,wife; husband; family,TRUE,trauma; mental illness; suicide,TRUE,body,FALSE,,TRUE,murder; murdered,FALSE,,TRUE,teen; adolescent; high school,FALSE,,,Monstrous Mother,"""At 10 years old, Molly dies after ingesting fluoridated toothpaste and holly berries due to her mother's neglect""; ""At 22 months, Gregory drowns in the bathtub after being left unattended by his mother; and, at 13, Gus is crushed by a totem pole during a storm""; ",
Wilson's Heart,https://en.wikipedia.org/wiki/Wilson%27s_Heart_%28video_game%29,adventure horror,Twisted Pixel Games,NONE LISTED,2017-04-25,Windows,first-person,TRUE,Yes,TRUE,vampire,TRUE,son,FALSE,,FALSE,,TRUE,body,TRUE,shackled,TRUE,kill,FALSE,,TRUE,young girl; girl,FALSE,,,"Vampire, Archaic Mother","""When Wilson meets Lucy again, he realizes, to his utter shock, that she is a vampire when she murders and drinks the blood of a hospital orderly.""; ""There he encounters Elsa who explains that she was the wife and scientific partner of Dr. Harcourt, and that the humanoid monster is in fact her young son named Andy, whose original body had been irreparably damaged by an accident for which Dr. Harcourt was responsible. She had put Andy's brain in a monstrous body to preserve it and now needs Wilson's orb as a new power source for his body, and the book to perform a procedure which will install the orb in Andy's body.""",
Bloodborne,https://en.wikipedia.org/wiki/Bloodborne,adventure horror,FromSoftware,NONE LISTED,2015-03-24,PlayStation 4,third-person,FALSE,Yes,FALSE,,TRUE,mother,FALSE,,FALSE,,TRUE,plague; transformed,FALSE,,TRUE,kill,FALSE,,FALSE,,FALSE,,,"Monstrous Womb, Archaic Mother, Vampire","""the Nightmare's source: Kos’ postmortem-born child"", ""three umbilical cords formed from Great Ones trying to reproduce with humans"", ""a substance known as Old Blood, which could cure any illness... the imbibed began to turn into the beasts over time""",https://www.youtube.com/watch?v=sJVXV14Vv3M
Alan Wake 2,https://en.wikipedia.org/wiki/Alan_Wake_2,survival horror,Remedy Entertainment,NONE LISTED,2015-03-24,PlayStation 5; Windows; Xbox Series X/S,third-person,TRUE,No,FALSE,,TRUE,her daughter,TRUE,wife,FALSE,,FALSE,,TRUE,trapped,TRUE,murders,FALSE,,FALSE,,FALSE,,,Archaic Mother,"""a dimension tied to the lake and ruled by the Dark Presence"" ancient archaic power tied to water",